ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PHONE
10223,28,60.57,5,1695.96,2019-02-20,1248,Shipped,Motorcycles,S18_2625,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small,03 9520 4555
10236,23,55.72,2,1281.56,2019-04-03,1207,Shipped,Motorcycles,S18_2625,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Small,2155559857
10251,29,61.18,6,1774.22,2019-05-18,1163,Shipped,Motorcycles,S18_2625,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Small,2015559350
10263,34,58.75,6,1997.5,2019-06-28,1123,Shipped,Motorcycles,S18_2625,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Small,2035552570
10275,37,63.6,5,2353.2,2019-07-23,1099,Shipped,Motorcycles,S18_2625,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,40.67.8555
10285,20,49.06,10,981.2,2019-08-27,1065,Shipped,Motorcycles,S18_2625,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Small,6175558555
10298,32,48.46,2,1550.72,2019-09-27,1035,Shipped,Motorcycles,S18_2625,Atelier graphique,"54, rue Royale",Nantes,France,Schmitt,Carine,Small,40.32.2555
10308,34,52.09,3,1771.06,2019-10-15,1018,Shipped,Motorcycles,S18_2625,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Small,9145554562
10318,42,52.7,5,2213.4,2019-11-02,1001,Shipped,Motorcycles,S18_2625,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Small,2155551555
10329,38,138.58,12,5266.04,2019-11-15,989,Shipped,Motorcycles,S18_2625,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,2125557818
10339,30,62.16,1,1864.8,2019-11-23,982,Shipped,Motorcycles,S18_2625,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Small,+81 3 3584 0555
10362,23,49.67,3,1142.41,2020-01-05,940,Shipped,Motorcycles,S18_2625,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Small,6505556809
10374,22,53.3,4,1172.6,2020-02-02,913,Shipped,Motorcycles,S18_2625,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan,Tony,Small,61-7-3844-6555
10389,39,179.0,5,6981.0,2020-03-03,884,Shipped,Motorcycles,S18_2625,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium,0695-34 6555
10402,55,55.72,2,3064.6,2020-04-07,850,Shipped,Motorcycles,S18_2625,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,(1) 47.55.6555
10417,36,61.18,6,2202.48,2020-05-13,815,Disputed,Motorcycles,S18_2625,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44
10101,26,145.13,1,3773.38,2018-01-09,1671,Shipped,Vintage Cars,S18_2795,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,Germany,Keitel,Roland,Medium,+49 69 66 90 2555
10110,31,163.69,1,5074.39,2018-03-18,1604,Shipped,Vintage Cars,S18_2795,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,(171) 555-1555
10125,34,190.69,2,6483.46,2018-05-21,1541,Shipped,Vintage Cars,S18_2795,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,03 9520 4555
10139,41,194.06,8,7956.46,2018-07-16,1486,Shipped,Vintage Cars,S18_2795,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Large,+61 2 9495 8555
10149,23,183.94,5,4230.62,2018-09-12,1429,Shipped,Vintage Cars,S18_2795,Signal Collectibles Ltd.,2793 Furth Circle,Brisbane,USA,Taylor,Sue,Medium,4155554312
10173,22,156.94,7,3452.68,2018-11-05,1376,Shipped,Vintage Cars,S18_2795,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Medium,035-640555
10182,21,145.13,4,3047.73,2018-11-12,1370,Shipped,Vintage Cars,S18_2795,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10193,22,167.06,8,3675.32,2018-11-21,1362,Shipped,Vintage Cars,S18_2795,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery,Sean,Medium,61-9-3844-6555
10205,40,187.31,3,7492.4,2018-12-03,1351,Shipped,Vintage Cars,S18_2795,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,(91) 555 94 44
10214,50,190.69,1,9534.5,2019-01-26,1298,Shipped,Vintage Cars,S18_2795,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Large,(91) 555 22 82
10227,29,192.38,4,5579.02,2019-03-02,1264,Shipped,Vintage Cars,S18_2795,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Medium,78.32.5555
10244,43,138.38,8,5950.34,2019-04-29,1207,Shipped,Vintage Cars,S18_2795,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10255,24,155.25,1,3726.0,2019-06-04,1172,Shipped,Vintage Cars,S18_2795,Mini Caravy,"24, place Kluber",Strasbourg,France,Citeaux,Frederique,Medium,88.60.1555
10280,22,202.5,10,4455.0,2019-08-17,1099,Shipped,Vintage Cars,S18_2795,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Medium,011-4988555
10289,43,192.38,3,8272.34,2019-09-03,1083,Shipped,Vintage Cars,S18_2795,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Large,+47 2267 3215
10304,20,178.88,14,3577.6,2019-10-11,1046,Shipped,Vintage Cars,S18_2795,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini,Daniel,Medium,30.59.8555
10312,25,155.25,11,3881.25,2019-10-21,1037,Shipped,Vintage Cars,S18_2795,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10322,36,161.04,2,5797.44,2019-11-04,1024,Shipped,Vintage Cars,S18_2795,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium,6035558647
10332,24,52.67,1,1264.08,2019-11-17,1012,Shipped,Vintage Cars,S18_2795,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Small,(171) 555-1555
10347,21,229.3,6,4815.3,2019-11-29,1001,Shipped,Vintage Cars,S18_2795,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,03 9520 4555
10356,30,148.74,1,4462.2,2019-12-09,992,Shipped,Vintage Cars,S18_2795,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Medium,+33 1 46 62 7555
10367,32,94.79,7,3033.28,2020-01-12,959,Resolved,Vintage Cars,S18_2795,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium,6265557265
10380,21,47.18,8,990.78,2020-02-16,925,Shipped,Vintage Cars,S18_2795,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44
10390,26,78.11,7,2030.86,2020-03-04,909,Shipped,Vintage Cars,S18_2795,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450
10421,35,155.25,1,5433.75,2020-05-29,824,In Process,Vintage Cars,S18_2795,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10109,26,121.44,1,3157.44,2018-03-10,1636,Shipped,Classic Cars,S18_2870,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Medium,2155559857
10123,46,112.2,3,5161.2,2018-05-20,1566,Shipped,Classic Cars,S18_2870,Atelier graphique,"54, rue Royale",Nantes,France,Schmitt,Carine,Medium,40.32.2555
10137,37,117.48,3,4346.76,2018-07-10,1516,Shipped,Classic Cars,S18_2870,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Medium,26.47.1555
10148,27,130.68,10,3528.36,2018-09-11,1454,Shipped,Classic Cars,S18_2870,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Medium,02 9936 8555
10161,23,138.6,9,3187.8,2018-10-17,1419,Shipped,Classic Cars,S18_2870,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Medium,86 21 3555
10172,39,154.44,7,6023.16,2018-11-05,1401,Shipped,Classic Cars,S18_2870,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Medium,2035552570
10181,27,143.88,3,3884.76,2018-11-12,1395,Shipped,Classic Cars,S18_2870,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium,+47 2267 3215
10192,38,130.68,8,4965.84,2018-11-20,1388,Shipped,Classic Cars,S18_2870,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium,6035558647
10204,27,154.44,14,4169.88,2018-12-02,1377,Shipped,Classic Cars,S18_2870,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,2125557413
10212,40,122.76,7,4910.4,2019-01-16,1333,Shipped,Classic Cars,S18_2870,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10226,24,134.64,5,3231.36,2019-02-26,1293,Shipped,Classic Cars,S18_2870,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson,Valarie,Medium,7605558146
10241,44,155.76,12,6853.44,2019-04-13,1248,Shipped,Classic Cars,S18_2870,Mini Caravy,"24, place Kluber",Strasbourg,France,Citeaux,Frederique,Medium,88.60.1555
10253,37,139.92,2,5177.04,2019-06-01,1200,Cancelled,Classic Cars,S18_2870,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Medium,(171) 555-2282
10266,20,141.24,3,2824.8,2019-07-06,1166,Shipped,Classic Cars,S18_2870,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Small,0522-556555
10278,39,110.88,3,4324.32,2019-08-06,1136,Shipped,Classic Cars,S18_2870,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King,Sue,Medium,7025551838
10287,44,114.84,1,5052.96,2019-08-30,1113,Shipped,Classic Cars,S18_2870,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,Switzerland,Holz,Michael,Medium,0897-034555
10301,22,146.52,5,3223.44,2018-10-05,1443,Shipped,Classic Cars,S18_2870,"Norway Gifts By Mail, Co.","Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,Klaeboe,Jan,Medium,+47 2212 1555
10311,43,122.76,10,5278.68,2019-10-16,1068,Shipped,Classic Cars,S18_2870,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10321,27,105.6,7,2851.2,2019-11-04,1050,Shipped,Classic Cars,S18_2870,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Small,5085552555
10331,26,64.9,10,1687.4,2019-11-17,1038,Shipped,Classic Cars,S18_2870,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Small,2155559857
10343,25,52.32,3,1308.0,2019-11-24,1032,Shipped,Classic Cars,S18_2870,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555
10366,49,125.4,2,6144.6,2020-01-10,986,Shipped,Classic Cars,S18_2870,Royale Belge,"Boulevard Tirou, 255",Charleroi,Belgium,Cartrain,Pascale,Medium,(071) 23 67 2555
10379,29,176.8,5,5127.2,2020-02-10,956,Shipped,Classic Cars,S18_2870,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10407,41,155.76,12,6386.16,2020-04-22,885,On Hold,Classic Cars,S18_2870,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Medium,4085553659
10419,55,139.92,2,7695.6,2020-05-17,861,Shipped,Classic Cars,S18_2870,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Large,6562-9555
10103,27,83.07,12,2242.89,2018-01-29,1701,Shipped,Vintage Cars,S18_2949,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Small,07-98 9555
10112,23,110.43,2,2539.89,2018-03-24,1648,Shipped,Vintage Cars,S18_2949,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Sweden,Berglund,Christina,Small,0921-12 3555
10126,31,90.17,12,2795.27,2018-05-28,1584,Shipped,Vintage Cars,S18_2949,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Small,(91) 555 22 82
10139,46,120.56,1,5545.76,2018-07-16,1536,Shipped,Vintage Cars,S18_2949,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium,+61 2 9495 8555
10150,47,91.18,9,4285.46,2018-09-19,1472,Shipped,Vintage Cars,S18_2949,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,+65 221 7555
10163,31,107.39,2,3329.09,2018-10-20,1442,Shipped,Vintage Cars,S18_2949,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez,Maria,Medium,2125558493
10174,46,121.57,5,5592.22,2018-11-06,1426,Shipped,Vintage Cars,S18_2949,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan,Tony,Medium,61-7-3844-6555
10183,37,89.15,9,3298.55,2018-11-13,1420,Shipped,Vintage Cars,S18_2949,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes,Francisca,Medium,2155554695
10193,28,93.21,1,2609.88,2018-11-21,1413,Shipped,Vintage Cars,S18_2949,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery,Sean,Small,61-9-3844-6555
10206,37,90.17,7,3336.29,2018-12-05,1400,Shipped,Vintage Cars,S18_2949,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri,Yoshi,Medium,(604) 555-3392
10215,49,112.45,4,5510.05,2019-01-29,1346,Shipped,Vintage Cars,S18_2949,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson,Steve,Medium,3105553722
10228,24,104.35,3,2504.4,2019-03-10,1307,Shipped,Vintage Cars,S18_2949,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng,Kyung,Small,6175555555
10244,30,117.52,1,3525.6,2019-04-29,1258,Shipped,Vintage Cars,S18_2949,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44
10257,50,88.14,1,4407.0,2019-06-14,1213,Shipped,Vintage Cars,S18_2949,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Medium,4085553659
10270,31,96.24,10,2983.44,2019-07-19,1179,Shipped,Vintage Cars,S18_2949,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,+61 2 9495 8555
10280,46,111.44,3,5126.24,2019-08-17,1151,Shipped,Vintage Cars,S18_2949,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Medium,011-4988555
10291,47,121.57,12,5713.79,2019-09-08,1130,Shipped,Vintage Cars,S18_2949,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium,0695-34 6555
10304,46,100.3,7,4613.8,2019-10-11,1098,Shipped,Vintage Cars,S18_2949,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini,Daniel,Medium,30.59.8555
10312,37,100.3,4,3711.1,2019-10-21,1089,Shipped,Vintage Cars,S18_2949,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10322,33,106.81,12,3524.73,2019-11-04,1076,Shipped,Vintage Cars,S18_2949,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium,6035558647
10347,48,100.3,9,4814.4,2019-11-29,1052,Shipped,Vintage Cars,S18_2949,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium,03 9520 4555
10357,41,87.13,6,3572.33,2019-12-10,1042,Shipped,Vintage Cars,S18_2949,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450
10369,42,109.08,1,4581.36,2020-01-20,1002,Shipped,Vintage Cars,S18_2949,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson,Allen,Medium,6175558555
10391,32,45.25,6,1448.0,2020-03-09,954,Shipped,Vintage Cars,S18_2949,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Small,02 9936 8555
10423,10,88.14,1,881.4,2020-05-30,873,In Process,Vintage Cars,S18_2949,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Small,(02) 5554 67
10103,35,57.46,14,2011.1,2018-01-29,1726,Shipped,Vintage Cars,S18_2957,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Small,07-98 9555
10126,46,73.7,14,3390.2,2018-05-28,1608,Shipped,Vintage Cars,S18_2957,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Medium,(91) 555 22 82
10139,20,71.2,3,1424.0,2018-07-16,1560,Shipped,Vintage Cars,S18_2957,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small,+61 2 9495 8555
10150,30,49.97,11,1499.1,2018-09-19,1496,Shipped,Vintage Cars,S18_2957,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Small,+65 221 7555
10163,48,69.96,4,3358.08,2018-10-20,1466,Shipped,Vintage Cars,S18_2957,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez,Maria,Medium,2125558493
10173,28,53.72,2,1504.16,2018-11-05,1451,Shipped,Vintage Cars,S18_2957,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Small,035-640555
10183,39,68.08,11,2655.12,2018-11-13,1444,Shipped,Vintage Cars,S18_2957,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes,Francisca,Small,2155554695
10193,24,51.84,3,1244.16,2018-11-21,1437,Shipped,Vintage Cars,S18_2957,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery,Sean,Small,61-9-3844-6555
10206,28,67.46,9,1888.88,2018-12-05,1424,Shipped,Vintage Cars,S18_2957,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri,Yoshi,Small,(604) 555-3392
10215,31,58.71,6,1820.01,2019-01-29,1370,Shipped,Vintage Cars,S18_2957,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson,Steve,Small,3105553722
10228,45,63.71,5,2866.95,2019-03-10,1331,Shipped,Vintage Cars,S18_2957,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng,Kyung,Small,6175555555
10244,24,58.09,3,1394.16,2019-04-29,1282,Shipped,Vintage Cars,S18_2957,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44
10257,49,53.72,3,2632.28,2019-06-14,1237,Shipped,Vintage Cars,S18_2957,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Small,4085553659
10269,32,63.08,1,2018.56,2019-07-16,1206,Shipped,Vintage Cars,S18_2957,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Small,6562-9555
10280,43,68.71,5,2954.53,2019-08-17,1175,Shipped,Vintage Cars,S18_2957,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Small,011-4988555
10291,37,50.59,14,1871.83,2019-09-08,1154,Shipped,Vintage Cars,S18_2957,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Small,0695-34 6555
10304,24,64.96,9,1559.04,2019-10-11,1122,Shipped,Vintage Cars,S18_2957,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini,Daniel,Small,30.59.8555
