ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10318,46,94.74,1,4358.04,2019-11-02,228,Shipped,Motorcycles,S10_1678,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Medium
10329,42,104.67,1,4396.14,2019-11-15,216,Shipped,Motorcycles,S10_1678,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium
10341,41,188.73,9,7737.93,2019-11-24,208,Shipped,Motorcycles,S10_1678,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Large
10361,20,72.55,13,1451.0,2019-12-17,186,Shipped,Motorcycles,S10_1678,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small
10375,21,34.91,12,733.11,2020-02-03,139,Shipped,Motorcycles,S10_1678,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small
10388,42,76.36,4,3207.12,2020-03-03,111,Shipped,Motorcycles,S10_1678,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Medium
10403,24,101.44,7,2434.56,2020-04-08,76,Shipped,Motorcycles,S10_1678,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Small
10417,66,113.88,2,7516.08,2020-05-13,42,Disputed,Motorcycles,S10_1678,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large
10103,26,207.87,11,5404.62,2018-01-29,878,Shipped,Classic Cars,S10_1949,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium
10112,29,248.59,1,7209.11,2018-03-24,825,Shipped,Classic Cars,S10_1949,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Sweden,Berglund,Christina,Large
10126,38,192.87,11,7329.06,2018-05-28,761,Shipped,Classic Cars,S10_1949,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Large
10140,37,199.3,11,7374.1,2018-07-24,705,Shipped,Classic Cars,S10_1949,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Large
10150,45,244.3,8,10993.5,2018-09-19,649,Shipped,Classic Cars,S10_1949,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Large
10163,21,231.44,1,4860.24,2018-10-20,619,Shipped,Classic Cars,S10_1949,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez,Maria,Medium
10174,34,235.73,4,8014.82,2018-11-06,603,Shipped,Classic Cars,S10_1949,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan,Tony,Large
10183,23,233.59,8,5372.57,2018-11-13,597,Shipped,Classic Cars,S10_1949,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes,Francisca,Medium
10194,42,173.58,11,7290.36,2018-11-25,586,Shipped,Classic Cars,S10_1949,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Large
10206,47,192.87,6,9064.89,2018-12-05,577,Shipped,Classic Cars,S10_1949,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri,Yoshi,Large
10215,35,173.58,3,6075.3,2019-01-29,523,Shipped,Classic Cars,S10_1949,West Coast Collectables Co.,3675 Furth Circle,Burbank,USA,Thompson,Steve,Medium
10228,29,222.87,2,6463.23,2019-03-10,484,Shipped,Classic Cars,S10_1949,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,USA,Tseng,Kyung,Medium
10245,34,180.01,9,6120.34,2019-05-04,430,Shipped,Classic Cars,S10_1949,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy,Leslie,Medium
10258,32,240.02,6,7680.64,2019-06-15,389,Shipped,Classic Cars,S10_1949,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Large
10270,21,233.59,9,4905.39,2019-07-19,356,Shipped,Classic Cars,S10_1949,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium
10280,34,235.73,2,8014.82,2019-08-17,328,Shipped,Classic Cars,S10_1949,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Large
10291,37,192.87,11,7136.19,2019-09-08,307,Shipped,Classic Cars,S10_1949,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Large
10304,47,216.44,6,10172.7,2019-10-11,275,Shipped,Classic Cars,S10_1949,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini,Daniel,Large
10312,48,242.16,3,11623.7,2019-10-21,266,Shipped,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Large
10322,40,150.01,1,6000.4,2019-11-04,253,Shipped,Classic Cars,S10_1949,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium
10347,30,131.49,1,3944.7,2019-11-29,229,Shipped,Classic Cars,S10_1949,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium
10357,32,177.87,10,5691.84,2019-12-10,219,Shipped,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium
10369,41,110.12,2,4514.92,2020-01-20,179,Shipped,Classic Cars,S10_1949,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,USA,Nelson,Allen,Medium
10391,24,100.69,4,2416.56,2020-03-09,131,Shipped,Classic Cars,S10_1949,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Small
10411,23,180.01,9,4140.23,2020-05-01,79,Shipped,Classic Cars,S10_1949,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Medium
10424,50,240.02,6,12001.0,2020-05-31,50,In Process,Classic Cars,S10_1949,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large
10107,39,99.91,5,3896.49,2018-02-24,878,Shipped,Motorcycles,S10_2016,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium
10120,29,96.34,3,2793.86,2018-04-29,815,Shipped,Motorcycles,S10_2016,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Small
10134,27,122.51,5,3307.77,2018-07-01,753,Shipped,Motorcycles,S10_2016,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Medium
10145,37,140.35,9,5192.95,2018-08-25,699,Shipped,Motorcycles,S10_2016,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium
10168,27,135.59,4,3660.93,2018-10-28,636,Shipped,Motorcycles,S10_2016,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium
10180,42,111.8,12,4695.6,2018-11-11,623,Shipped,Motorcycles,S10_2016,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium
10188,38,96.34,4,3660.92,2018-11-18,617,Shipped,Motorcycles,S10_2016,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium
10210,23,130.83,2,3009.09,2019-01-12,563,Shipped,Motorcycles,S10_2016,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Medium
10223,47,115.37,4,5422.39,2019-02-20,525,Shipped,Motorcycles,S10_2016,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium
10236,22,129.64,1,2852.08,2019-04-03,484,Shipped,Motorcycles,S10_2016,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Small
10251,44,130.83,5,5756.52,2019-05-18,440,Shipped,Motorcycles,S10_2016,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Medium
10263,40,111.8,5,4472.0,2019-06-28,400,Shipped,Motorcycles,S10_2016,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Medium
10275,22,132.02,4,2904.44,2019-07-23,376,Shipped,Motorcycles,S10_2016,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small
10285,47,137.97,9,6484.59,2019-08-27,342,Shipped,Motorcycles,S10_2016,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium
10298,39,96.34,1,3757.26,2019-09-27,312,Shipped,Motorcycles,S10_2016,Atelier graphique,"54, rue Royale",Nantes,France,Schmitt,Carine,Medium
10308,34,118.94,2,4043.96,2019-10-15,295,Shipped,Motorcycles,S10_2016,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Medium
10318,45,123.7,4,5566.5,2019-11-02,278,Shipped,Motorcycles,S10_2016,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Medium
10329,20,158.8,2,3176.0,2019-11-15,266,Shipped,Motorcycles,S10_2016,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium
10339,40,68.92,4,2756.8,2019-11-23,259,Shipped,Motorcycles,S10_2016,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Small
10361,26,51.15,8,1329.9,2019-12-17,236,Shipped,Motorcycles,S10_2016,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small
10374,39,135.59,5,5288.01,2020-02-02,190,Shipped,Motorcycles,S10_2016,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan,Tony,Medium
10388,50,44.51,5,2225.5,2020-03-03,161,Shipped,Motorcycles,S10_2016,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Small
10402,45,129.64,1,5833.8,2020-04-07,127,Shipped,Motorcycles,S10_2016,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium
10417,45,130.83,5,5887.35,2020-05-13,92,Disputed,Motorcycles,S10_2016,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium
10107,27,224.65,4,6065.55,2018-02-24,902,Shipped,Motorcycles,S10_4698,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium
10120,46,201.41,2,9264.86,2018-04-29,839,Shipped,Motorcycles,S10_4698,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Large
10134,31,226.58,4,7023.98,2018-07-01,777,Shipped,Motorcycles,S10_4698,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Large
10145,33,156.86,8,5176.38,2018-08-25,723,Shipped,Motorcycles,S10_4698,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium
10168,20,209.15,3,4183.0,2018-10-28,660,Shipped,Motorcycles,S10_4698,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium
10180,41,216.9,11,8892.9,2018-11-11,647,Shipped,Motorcycles,S10_4698,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Large
10188,45,193.66,3,8714.7,2018-11-18,641,Shipped,Motorcycles,S10_4698,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Large
10210,34,180.1,1,6123.4,2019-01-12,587,Shipped,Motorcycles,S10_4698,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Medium
10223,49,199.47,3,9774.03,2019-02-20,549,Shipped,Motorcycles,S10_4698,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Large
10237,39,180.1,9,7023.9,2019-04-05,506,Shipped,Motorcycles,S10_4698,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick,Michael,Large
10251,43,164.61,4,7078.23,2019-05-18,464,Shipped,Motorcycles,S10_4698,Tekni Collectables Inc.,7476 Moss Rd.,Newark,USA,Brown,William,Large
10263,41,203.34,4,8336.94,2019-06-28,424,Shipped,Motorcycles,S10_4698,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Large
10275,36,191.72,3,6901.92,2019-07-23,400,Shipped,Motorcycles,S10_4698,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium
10285,27,201.41,8,5438.07,2019-08-27,366,Shipped,Motorcycles,S10_4698,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium
10299,29,230.46,11,6683.34,2019-09-30,333,Shipped,Motorcycles,S10_4698,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Medium
10308,20,228.52,1,4570.4,2019-10-15,319,Shipped,Motorcycles,S10_4698,Mini Classics,3758 North Pendale Street,White Plains,USA,Frick,Steve,Medium
10318,37,207.22,3,7667.14,2019-11-02,302,Shipped,Motorcycles,S10_4698,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Large
10329,26,225.7,3,5868.2,2019-11-15,290,Shipped,Motorcycles,S10_4698,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium
10339,39,76.67,3,2990.13,2019-11-23,283,Shipped,Motorcycles,S10_4698,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Small
10362,22,166.55,4,3664.1,2020-01-05,241,Shipped,Motorcycles,S10_4698,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium
10374,22,174.29,1,3834.38,2020-02-02,214,Shipped,Motorcycles,S10_4698,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Australia,Calaghan,Tony,Medium
10388,21,86.77,7,1822.17,2020-03-03,185,Shipped,Motorcycles,S10_4698,FunGiftIdeas.com,1785 First Street,New Bedford,USA,Benitez,Violeta,Small
10403,66,180.1,9,11886.6,2020-04-08,150,Shipped,Motorcycles,S10_4698,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Large
10417,56,164.61,4,9218.16,2020-05-13,116,Disputed,Motorcycles,S10_4698,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large
10105,50,144.16,2,7208.0,2018-02-11,939,Shipped,Classic Cars,S10_4757,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,Denmark,Petersen,Jytte,Large
10119,46,108.8,11,5004.8,2018-04-28,864,Shipped,Classic Cars,S10_4757,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Medium
10129,33,133.28,2,4398.24,2018-06-12,820,Shipped,Classic Cars,S10_4757,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Medium
10143,49,114.24,15,5597.76,2018-08-10,762,Shipped,Classic Cars,S10_4757,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Medium
10155,32,141.44,13,4526.08,2018-10-06,706,Shipped,Classic Cars,S10_4757,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Medium
10167,44,134.64,9,5924.16,2018-10-23,690,Cancelled,Classic Cars,S10_4757,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium
10178,24,145.52,12,3492.48,2018-11-08,675,Shipped,Classic Cars,S10_4757,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,France,Roulet,Annette,Medium
10186,26,148.24,9,3854.24,2018-11-14,670,Shipped,Classic Cars,S10_4757,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,UK,Hardy,Thomas,Medium
10197,45,118.32,6,5324.4,2018-11-26,659,Shipped,Classic Cars,S10_4757,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Medium
10222,49,122.4,12,5997.6,2019-02-19,575,Shipped,Classic Cars,S10_4757,Collectable Mini Designs Co.,361 Furth Circle,San Diego,USA,Thompson,Valarie,Medium
10248,20,145.52,3,2910.4,2019-05-07,499,Cancelled,Classic Cars,S10_4757,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small
10261,27,125.12,1,3378.24,2019-06-17,459,Shipped,Classic Cars,S10_4757,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Medium
10273,30,116.96,4,3508.8,2019-07-21,426,Shipped,Classic Cars,S10_4757,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Medium
10283,25,119.68,6,2992.0,2019-08-20,397,Shipped,Classic Cars,S10_4757,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Small
10295,24,142.8,1,3427.2,2019-09-10,377,Shipped,Classic Cars,S10_4757,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Medium
10307,22,122.4,9,2692.8,2019-10-14,344,Shipped,Classic Cars,S10_4757,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes,Francisca,Small
10316,33,125.12,17,4128.96,2019-11-01,327,Shipped,Classic Cars,S10_4757,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Medium
10325,47,64.93,6,3051.71,2019-11-05,324,Shipped,Classic Cars,S10_4757,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium
10337,25,48.05,8,1201.25,2019-11-21,309,Shipped,Classic Cars,S10_4757,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez,Maria,Small
10350,26,75.47,5,1962.22,2019-12-02,299,Shipped,Classic Cars,S10_4757,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small
10359,48,54.68,6,2624.64,2019-12-15,287,Shipped,Classic Cars,S10_4757,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small
10373,39,103.75,3,4046.25,2020-01-31,241,Shipped,Classic Cars,S10_4757,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Medium
10395,32,105.33,2,3370.56,2020-03-17,196,Shipped,Classic Cars,S10_4757,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Medium
10400,64,150.96,9,9661.44,2020-04-01,182,Shipped,Classic Cars,S10_4757,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,USA,Frick,Sue,Large
10414,19,145.52,3,2764.88,2020-05-06,148,On Hold,Classic Cars,S10_4757,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Small
10103,42,128.53,4,5398.26,2018-01-29,977,Shipped,Classic Cars,S10_4962,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium
10114,31,138.88,8,4305.28,2018-04-01,916,Shipped,Classic Cars,S10_4962,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand,Marie,Medium
10126,22,152.17,4,3347.74,2018-05-28,860,Shipped,Classic Cars,S10_4962,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Medium
10140,26,122.62,4,3188.12,2018-07-24,804,Shipped,Classic Cars,S10_4962,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium
10150,20,159.56,1,3191.2,2018-09-19,748,Shipped,Classic Cars,S10_4962,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium
10164,21,168.42,2,3536.82,2018-10-21,717,Resolved,Classic Cars,S10_4962,Mini Auto Werke,Kirchgasse 6,Graz,Austria,Mendel,Roland,Medium
10175,33,162.51,9,5362.83,2018-11-06,702,Shipped,Classic Cars,S10_4962,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Medium
10183,28,122.62,1,3433.36,2018-11-13,696,Shipped,Classic Cars,S10_4962,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,USA,Cervantes,Francisca,Medium
10194,26,163.99,4,4263.74,2018-11-25,685,Shipped,Classic Cars,S10_4962,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Medium
10207,31,131.49,15,4076.19,2018-12-09,672,Shipped,Classic Cars,S10_4962,Diecast Collectables,6251 Ingle Ln.,Boston,USA,Franco,Valarie,Medium
10217,48,146.26,4,7020.48,2019-02-04,616,Shipped,Classic Cars,S10_4962,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Large
10229,50,128.53,9,6426.5,2019-03-11,582,Shipped,Classic Cars,S10_4962,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium
10245,28,163.99,2,4591.72,2019-05-04,529,Shipped,Classic Cars,S10_4962,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy,Leslie,Medium
10259,26,155.13,12,4033.38,2019-06-15,488,Shipped,Classic Cars,S10_4962,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Medium
10270,32,134.44,2,4302.08,2019-07-19,455,Shipped,Classic Cars,S10_4962,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium
10281,44,159.56,9,7020.64,2019-08-19,425,Shipped,Classic Cars,S10_4962,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Large
10291,30,128.53,4,3855.9,2019-09-08,406,Shipped,Classic Cars,S10_4962,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium
10305,38,175.81,13,6680.78,2019-10-13,372,Shipped,Classic Cars,S10_4962,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium
10313,40,166.95,7,6678.0,2019-10-22,364,Shipped,Classic Cars,S10_4962,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri,Yoshi,Medium
10322,46,61.99,8,2851.54,2019-11-04,352,Shipped,Classic Cars,S10_4962,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Small
10334,26,122.62,2,3188.12,2019-11-19,338,On Hold,Classic Cars,S10_4962,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Sweden,Berglund,Christina,Medium
10347,27,164.0,2,4428.0,2019-11-29,329,Shipped,Classic Cars,S10_4962,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Australia,Ferguson,Peter,Medium
10357,43,134.44,9,5780.92,2019-12-10,319,Shipped,Classic Cars,S10_4962,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium
10370,35,65.63,4,2297.05,2020-01-20,279,Shipped,Classic Cars,S10_4962,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Small
10391,37,46.9,7,1735.3,2020-03-09,231,Shipped,Classic Cars,S10_4962,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Small
10411,27,163.99,2,4427.73,2020-05-01,179,Shipped,Classic Cars,S10_4962,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Medium
10425,38,155.13,12,5894.94,2020-05-31,150,In Process,Classic Cars,S10_4962,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium
10108,33,159.55,6,5265.15,2018-03-03,971,Shipped,Classic Cars,S12_1099,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Cruz,Arnold,Medium
10122,42,180.95,10,7599.9,2018-05-08,906,Shipped,Classic Cars,S12_1099,Marseille Mini Autos,"12, rue des Bouchers",Marseille,France,Lebihan,Laurence,Large
