ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PHONE,MSRP,POSTALCODE
10230,34,116.91,7,3974.94,2019-03-15,2761,Shipped,Trucks and Buses,S50_1392,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,Germany,Keitel,Roland,Medium,+49 69 66 90 2555,115,60528
10246,22,133.11,3,2928.42,2019-05-05,2711,Shipped,Trucks and Buses,S50_1392,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,115,28034
10259,29,105.33,2,3054.57,2019-06-15,2671,Shipped,Trucks and Buses,S50_1392,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Medium,+65 224 1555,115,69045
10271,34,98.39,3,3345.26,2019-07-20,2637,Shipped,Trucks and Buses,S50_1392,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,115,97562
10282,38,113.44,12,4310.72,2019-08-20,2607,Shipped,Trucks and Buses,S50_1392,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,115,97562
10292,41,121.54,6,4983.14,2019-09-08,2589,Shipped,Trucks and Buses,S50_1392,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,2125557818,115,10022
10305,42,109.96,3,4618.32,2019-10-13,2555,Shipped,Trucks and Buses,S50_1392,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium,6175558555,115,51247
10314,28,121.54,12,3403.12,2019-10-22,2547,Shipped,Trucks and Buses,S50_1392,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Medium,86 21 3555,115,8200
10325,38,136.59,4,5190.42,2019-11-05,2534,Shipped,Trucks and Buses,S50_1392,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium,07-98 9555,115,4110
10336,23,136.59,8,3141.57,2019-11-20,2520,Shipped,Trucks and Buses,S50_1392,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand,Marie,Medium,(1) 42.34.2555,115,75012
10350,31,71.4,8,2213.4,2019-12-02,2509,Shipped,Trucks and Buses,S50_1392,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,115,28034
10359,46,106.45,2,4896.7,2019-12-15,2497,Shipped,Trucks and Buses,S50_1392,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Medium,26.47.1555,115,51100
10371,48,56.55,10,2714.4,2020-01-23,2459,Shipped,Trucks and Buses,S50_1392,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,115,97562
10383,29,106.45,13,3087.05,2020-02-22,2430,Shipped,Trucks and Buses,S50_1392,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,115,28034
10395,46,123.76,4,5692.96,2020-03-17,2407,Shipped,Trucks and Buses,S50_1392,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Medium,+33 1 46 62 7555,115,75508
10412,26,133.11,3,3460.86,2020-05-03,2361,Shipped,Trucks and Buses,S50_1392,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,115,28034
10425,18,105.33,2,1895.94,2020-05-31,2334,In Process,Trucks and Buses,S50_1392,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,40.67.8555,115,44000
10104,32,53.31,2,1705.92,2018-01-31,3186,Shipped,Trains,S50_1514,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,58,28034
10117,21,49.21,11,1033.41,2018-04-16,3112,Shipped,Trains,S50_1514,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Small,+65 221 7555,58,79903
10127,46,69.12,4,3179.52,2018-06-03,3065,Shipped,Trains,S50_1514,Muscle Machine Inc,4092 Furth Circle,NYC,USA,Young,Jeff,Medium,2125557413,58,10022
10142,42,49.79,14,2091.18,2018-08-08,3000,Shipped,Trains,S50_1514,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,58,97562
10153,31,57.41,13,1779.71,2018-09-28,2950,Shipped,Trains,S50_1514,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,58,28034
10165,38,66.78,5,2537.64,2018-10-22,2927,Shipped,Trains,S50_1514,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Small,+65 221 7555,58,79903
10176,38,64.44,4,2448.72,2018-11-06,2913,Shipped,Trains,S50_1514,L'ordine Souveniers,Strada Provinciale 124,Reggio Emilia,Italy,Moroni,Maurizio,Small,0522-556555,58,42100
10185,20,48.62,15,972.4,2018-11-14,2906,Shipped,Trains,S50_1514,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Small,5085559555,58,50553
10196,46,62.09,7,2856.14,2018-11-26,2895,Shipped,Trains,S50_1514,Super Scale Inc.,567 North Pendale Street,New Haven,USA,Murphy,Leslie,Small,2035559545,58,97823
10208,30,65.61,15,1968.3,2019-01-02,2859,Shipped,Trains,S50_1514,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Small,78.32.5555,58,69004
10220,30,68.54,4,2056.2,2019-02-12,2819,Shipped,Trains,S50_1514,"Clover Collections, Co.",25 Maiden Lane,Dublin,Ireland,Cassidy,Dean,Small,+353 1862 1555,58,2
10230,43,52.14,2,2242.02,2019-03-15,2789,Shipped,Trains,S50_1514,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,Germany,Keitel,Roland,Small,+49 69 66 90 2555,58,60528
10247,49,63.85,4,3128.65,2019-05-05,2739,Shipped,Trains,S50_1514,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Medium,+358 9 8045 555,58,FIN-02271
10272,43,56.82,4,2443.26,2019-07-20,2664,Shipped,Trains,S50_1514,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Small,2155551555,58,70267
10282,37,66.78,7,2470.86,2019-08-20,2634,Shipped,Trains,S50_1514,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,58,97562
10292,35,55.07,1,1927.45,2019-09-08,2616,Shipped,Trains,S50_1514,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Small,2125557818,58,10022
10306,34,60.34,15,2051.56,2019-10-14,2581,Shipped,Trains,S50_1514,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Small,(171) 555-1555,58,EC2 5NT
10314,38,61.51,7,2337.38,2019-10-22,2574,Shipped,Trains,S50_1514,Heintze Collectables,Smagsloget 45,Aaarhus,Denmark,Ibsen,Palle,Small,86 21 3555,58,8200
10325,44,134.84,7,5932.96,2019-11-05,2561,Shipped,Trains,S50_1514,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium,07-98 9555,58,4110
10337,21,109.37,6,2296.77,2019-11-21,2546,Shipped,Trains,S50_1514,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez,Maria,Small,2125558493,58,10022
10350,44,147.52,17,6490.88,2019-12-02,2536,Shipped,Trains,S50_1514,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,58,28034
10359,25,64.93,4,1623.25,2019-12-15,2524,Shipped,Trains,S50_1514,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555,58,51100
10372,24,58.58,9,1405.92,2020-01-26,2483,Shipped,Trains,S50_1514,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Small,+81 3 3584 0555,58,106-0032
10383,38,60.06,10,2282.28,2020-02-22,2457,Shipped,Trains,S50_1514,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,58,28034
10395,45,199.49,3,8977.05,2020-03-17,2434,Shipped,Trains,S50_1514,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Large,+33 1 46 62 7555,58,75508
10413,51,63.85,4,3256.35,2020-05-05,2386,Shipped,Trains,S50_1514,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,USA,King,Julie,Medium,2035552570,58,97562
10108,34,82.99,14,2821.66,2018-03-03,3181,Shipped,Motorcycles,S50_4713,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Cruz,Arnold,Small,+63 2 555 3587,81,1227 MM
10121,44,74.85,1,3293.4,2018-05-07,3117,Shipped,Motorcycles,S50_4713,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Medium,26.47.1555,81,51100
10135,44,96.0,15,4224.0,2018-07-02,3062,Shipped,Motorcycles,S50_4713,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,81,97562
10145,38,81.36,2,3091.68,2018-08-25,3009,Shipped,Motorcycles,S50_4713,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Medium,6265557265,81,90003
10169,48,80.55,10,3866.4,2018-11-04,2939,Shipped,Motorcycles,S50_4713,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Medium,02 9936 8555,81,2060
10180,21,93.56,5,1964.76,2018-11-11,2933,Shipped,Motorcycles,S50_4713,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Small,20.16.1555,81,59000
10190,40,66.72,2,2668.8,2018-11-19,2926,Shipped,Motorcycles,S50_4713,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,81,28034
10211,40,80.55,10,3222.0,2019-01-15,2870,Shipped,Motorcycles,S50_4713,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,(1) 47.55.6555,81,75016
10224,50,77.29,3,3864.5,2019-02-21,2834,Shipped,Motorcycles,S50_4713,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium,20.16.1555,81,59000
10237,20,68.34,3,1366.8,2019-04-05,2792,Shipped,Motorcycles,S50_4713,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick,Michael,Small,2125551500,81,10022
10252,48,72.41,7,3475.68,2019-05-26,2742,Shipped,Motorcycles,S50_4713,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,(1) 47.55.6555,81,75016
10264,47,89.5,5,4206.5,2019-06-30,2708,Shipped,Motorcycles,S50_4713,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Medium,6175559555,81,51003
10276,21,70.78,11,1486.38,2019-08-02,2676,Shipped,Motorcycles,S50_4713,Online Mini Collectables,7635 Spinnaker Dr.,Brickhaven,USA,Barajas,Miguel,Small,6175557555,81,58339
10285,39,78.92,2,3077.88,2019-08-27,2652,Shipped,Motorcycles,S50_4713,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium,6175558555,81,51247
10299,44,80.55,5,3544.2,2019-09-30,2619,Shipped,Motorcycles,S50_4713,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Medium,90-224 8555,81,21240
10309,28,88.68,1,2483.04,2019-10-15,2605,Shipped,Motorcycles,S50_4713,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Small,07-98 9555,81,4110
10319,45,77.29,6,3478.05,2019-11-03,2587,Shipped,Motorcycles,S50_4713,Microscale Inc.,5290 North Pendale Street,NYC,USA,Kuo,Kee,Medium,2125551957,81,10022
10331,20,182.89,5,3657.8,2019-11-17,2574,Shipped,Motorcycles,S50_4713,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,USA,Hernandez,Rosa,Medium,2155559857,81,71270
10341,38,123.22,3,4682.36,2019-11-24,2568,Shipped,Motorcycles,S50_4713,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Medium,6562-9555,81,5020
10356,26,151.45,4,3937.7,2019-12-09,2554,Shipped,Motorcycles,S50_4713,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Medium,+33 1 46 62 7555,81,75508
10365,44,113.28,2,4984.32,2020-01-07,2526,Shipped,Motorcycles,S50_4713,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,USA,Tam,Wing C,Medium,5085559555,81,50553
