ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,ADDRESSLINE1,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PHONE,MSRP
10232,46,122.89,4,5652.94,2019-03-20,1985,Shipped,Ships,S24_2011,giftsbymail.co.uk,Garden House Crowther Way,Cowes,UK,Bennett,Helen,Medium,(198) 555-8888,122
10248,48,145.01,10,6960.48,2019-05-07,1938,Cancelled,Ships,S24_2011,Land of Toys Inc.,897 Long Airport Avenue,NYC,USA,Yu,Kwai,Medium,2125557818,122
10261,36,125.35,8,4512.6,2019-06-17,1898,Shipped,Ships,S24_2011,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Canada,Fresnisre,Jean,Medium,(514) 555-8054,122
10273,22,126.58,11,2784.76,2019-07-21,1865,Shipped,Ships,S24_2011,Petit Auto,Rue Joseph-Bens 532,Bruxelles,Belgium,Dewey,Catherine,Small,(02) 5554 67,122
10283,42,126.58,13,5316.36,2019-08-20,1836,Shipped,Ships,S24_2011,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,Canada,Lincoln,Elizabeth,Medium,(604) 555-4555,122
10293,21,140.09,2,2941.89,2019-09-09,1817,Shipped,Ships,S24_2011,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Small,011-4988555,122
10306,29,110.6,7,3207.4,2019-10-14,1783,Shipped,Ships,S24_2011,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Medium,(171) 555-1555,122
10315,35,120.43,6,4215.05,2019-10-29,1769,Shipped,Ships,S24_2011,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555,122
10326,41,105.69,4,4333.29,2019-11-09,1759,Shipped,Ships,S24_2011,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Sweden,Berglund,Christina,Medium,0921-12 3555,122
10337,29,71.97,4,2087.13,2019-11-21,1748,Shipped,Ships,S24_2011,Classic Legends Inc.,5905 Pompton St.,NYC,USA,Hernandez,Maria,Small,2125558493,122
10350,34,50.33,7,1711.22,2019-12-02,1738,Shipped,Ships,S24_2011,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,122
10372,37,105.69,8,3910.53,2020-01-26,1684,Shipped,Ships,S24_2011,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Japan,Shimamura,Akiko,Medium,+81 3 3584 0555,122
10396,49,116.75,6,5720.75,2020-03-23,1628,Shipped,Ships,S24_2011,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,122
10414,23,145.01,10,3335.23,2020-05-06,1585,On Hold,Ships,S24_2011,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Medium,6175559555,122
10101,46,53.76,2,2472.96,2018-01-09,2434,Shipped,Vintage Cars,S24_2022,"Blauer See Auto, Co.",Lyonerstr. 34,Frankfurt,Germany,Keitel,Roland,Small,+49 69 66 90 2555,44
10110,39,44.35,2,1729.65,2018-03-18,2367,Shipped,Vintage Cars,S24_2022,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Small,(171) 555-1555,44
10124,22,45.25,1,995.5,2018-05-21,2304,Shipped,Vintage Cars,S24_2022,Signal Gift Stores,8489 Strong St.,Las Vegas,USA,King,Sue,Small,7025551838,44
10149,49,49.28,6,2414.72,2018-09-12,2191,Shipped,Vintage Cars,S24_2022,Signal Collectibles Ltd.,2793 Furth Circle,Brisbane,USA,Taylor,Sue,Small,4155554312,44
10173,27,41.22,8,1112.94,2018-11-05,2138,Shipped,Vintage Cars,S24_2022,Rovelli Gifts,Via Ludovico il Moro 22,Bergamo,Italy,Rovelli,Giovanni,Small,035-640555,44
10182,31,36.74,5,1138.94,2018-11-12,2132,Shipped,Vintage Cars,S24_2022,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,44
10193,20,50.62,9,1012.4,2018-11-21,2124,Shipped,Vintage Cars,S24_2022,"Australian Collectables, Ltd",7 Allen Street,Glen Waverly,Australia,Connery,Sean,Small,61-9-3844-6555,44
10205,24,38.08,4,913.92,2018-12-03,2113,Shipped,Vintage Cars,S24_2022,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,44
10214,49,47.94,2,2349.06,2019-01-26,2060,Shipped,Vintage Cars,S24_2022,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Small,(91) 555 22 82,44
10227,24,48.38,5,1161.12,2019-03-02,2026,Shipped,Vintage Cars,S24_2022,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Small,78.32.5555,44
10244,39,45.25,9,1764.75,2019-04-29,1969,Shipped,Vintage Cars,S24_2022,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,44
10255,37,45.7,2,1690.9,2019-06-04,1934,Shipped,Vintage Cars,S24_2022,Mini Caravy,"24, place Kluber",Strasbourg,France,Citeaux,Frederique,Small,88.60.1555,44
10280,45,47.49,11,2137.05,2019-08-17,1861,Shipped,Vintage Cars,S24_2022,Amica Models & Co.,Via Monte Bianco 34,Torino,Italy,Accorti,Paolo,Small,011-4988555,44
10289,45,48.38,4,2177.1,2019-09-03,1845,Shipped,Vintage Cars,S24_2022,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Small,+47 2267 3215,44
10304,44,39.42,15,1734.48,2019-10-11,1808,Shipped,Vintage Cars,S24_2022,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,France,Tonini,Daniel,Small,30.59.8555,44
10312,23,37.63,12,865.49,2019-10-21,1799,Shipped,Vintage Cars,S24_2022,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,44
10322,30,116.67,4,3500.1,2019-11-04,1786,Shipped,Vintage Cars,S24_2022,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,USA,Young,Valarie,Medium,6035558647,44
10332,26,85.52,10,2223.52,2019-11-17,1774,Shipped,Vintage Cars,S24_2022,"AV Stores, Co.",Fauntleroy Circus,Manchester,UK,Ashworth,Victoria,Small,(171) 555-1555,44
10345,43,53.76,1,2311.68,2019-11-25,1767,Shipped,Vintage Cars,S24_2022,Atelier graphique,"54, rue Royale",Nantes,France,Schmitt,Carine,Small,40.32.2555,44
10356,26,31.86,7,828.36,2019-12-09,1754,Shipped,Vintage Cars,S24_2022,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,France,Da Cunha,Daniel,Small,+33 1 46 62 7555,44
10367,28,30.59,12,856.52,2020-01-12,1721,Resolved,Vintage Cars,S24_2022,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Small,6265557265,44
10380,27,68.35,5,1845.45,2020-02-16,1687,Shipped,Vintage Cars,S24_2022,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,44
10391,24,168.42,1,4042.08,2020-03-09,1666,Shipped,Vintage Cars,S24_2022,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Medium,02 9936 8555,44
10421,40,45.7,2,1828.0,2020-05-29,1586,In Process,Vintage Cars,S24_2022,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,44
10103,36,102.23,1,3680.28,2018-01-29,2438,Shipped,Trucks and Buses,S24_2300,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Medium,07-98 9555,127
10114,21,139.29,5,2925.09,2018-04-01,2377,Shipped,Trucks and Buses,S24_2300,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,France,Bertrand,Marie,Small,(1) 42.34.2555,127
10126,27,126.51,1,3415.77,2018-05-28,2321,Shipped,Trucks and Buses,S24_2300,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Medium,(91) 555 22 82,127
10140,47,108.62,1,5105.14,2018-07-24,2265,Shipped,Trucks and Buses,S24_2300,Technics Stores Inc.,9408 Furth Circle,Burlingame,USA,Hirano,Juri,Medium,6505556809,127
10151,42,121.4,8,5098.8,2018-09-21,2207,Shipped,Trucks and Buses,S24_2300,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,Finland,Koskitalo,Pirkko,Medium,981-443655,127
10165,32,145.68,17,4661.76,2018-10-22,2177,Shipped,Trucks and Buses,S24_2300,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,+65 221 7555,127
10175,28,106.07,6,2969.96,2018-11-06,2163,Shipped,Trucks and Buses,S24_2300,"Stylish Desk Decors, Co.",35 King George,London,UK,Brown,Ann,Small,(171) 555-0297,127
10184,24,145.68,11,3496.32,2018-11-14,2156,Shipped,Trucks and Buses,S24_2300,"Iberia Gift Imports, Corp.","C/ Romero, 33",Sevilla,Spain,Roel,Jose Pedro,Medium,(95) 555 82 82,127
10194,49,117.57,1,5760.93,2018-11-25,2146,Shipped,Trucks and Buses,S24_2300,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,France,Saveley,Mary,Medium,78.32.5555,127
10207,46,148.24,12,6819.04,2018-12-09,2133,Shipped,Trucks and Buses,S24_2300,Diecast Collectables,6251 Ingle Ln.,Boston,USA,Franco,Valarie,Medium,6175552555,127
10217,28,112.46,1,3148.88,2019-02-04,2077,Shipped,Trucks and Buses,S24_2300,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Medium,+65 224 1555,127
10229,48,118.84,6,5704.32,2019-03-11,2043,Shipped,Trucks and Buses,S24_2300,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,127
10246,29,121.4,10,3520.6,2019-05-05,1989,Shipped,Trucks and Buses,S24_2300,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,127
10259,47,112.46,9,5285.62,2019-06-15,1949,Shipped,Trucks and Buses,S24_2300,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,Singapore,Victorino,Wendy,Medium,+65 224 1555,127
10271,43,130.35,10,5605.05,2019-07-20,1915,Shipped,Trucks and Buses,S24_2300,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,127
10281,25,111.18,6,2779.5,2019-08-19,1886,Shipped,Trucks and Buses,S24_2300,Diecast Classics Inc.,7586 Pompton St.,Allentown,USA,Yu,Kyung,Small,2155551555,127
10291,48,112.46,1,5398.08,2019-09-08,1867,Shipped,Trucks and Buses,S24_2300,Scandinavian Gift Ideas,?kergatan 24,Boras,Sweden,Larsson,Maria,Medium,0695-34 6555,127
10305,24,132.9,10,3189.6,2019-10-13,1833,Shipped,Trucks and Buses,S24_2300,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Medium,6175558555,127
10313,42,132.9,4,5581.8,2019-10-22,1825,Shipped,Trucks and Buses,S24_2300,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,Canada,Tannamuri,Yoshi,Medium,(604) 555-3392,127
10324,31,123.24,2,3820.44,2019-11-05,1812,Shipped,Trucks and Buses,S24_2300,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick,Michael,Medium,2125551500,127
10334,42,131.62,5,5528.04,2019-11-19,1799,On Hold,Trucks and Buses,S24_2300,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,Sweden,Berglund,Christina,Medium,0921-12 3555,127
10348,37,161.66,1,5981.42,2019-11-01,1818,Shipped,Trucks and Buses,S24_2300,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,Spain,Sommer,Mart¡n,Medium,(91) 555 22 82,127
10358,41,138.65,7,5684.65,2019-12-10,1780,Shipped,Trucks and Buses,S24_2300,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,127
10371,20,172.47,5,3449.4,2020-01-23,1737,Shipped,Trucks and Buses,S24_2300,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Medium,4155551450,127
10382,20,132.72,3,2654.4,2020-02-17,1713,Shipped,Trucks and Buses,S24_2300,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,127
10412,70,121.4,10,8498.0,2020-05-03,1638,Shipped,Trucks and Buses,S24_2300,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,(91) 555 94 44,127
10425,49,112.46,9,5510.54,2020-05-31,1611,In Process,Trucks and Buses,S24_2300,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,40.67.8555,127
10108,35,58.87,15,2060.45,2018-03-03,2432,Shipped,Motorcycles,S24_2360,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Cruz,Arnold,Small,+63 2 555 3587,69
10121,32,76.88,2,2460.16,2018-05-07,2368,Shipped,Motorcycles,S24_2360,Reims Collectables,59 rue de l'Abbaye,Reims,France,Henriot,Paul,Small,26.47.1555,69
10135,29,61.64,16,1787.56,2018-07-02,2313,Shipped,Motorcycles,S24_2360,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,69
10145,27,60.95,3,1645.65,2018-08-25,2260,Shipped,Motorcycles,S24_2360,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,USA,Young,Julie,Small,6265557265,69
10169,38,74.11,11,2816.18,2018-11-04,2190,Shipped,Motorcycles,S24_2360,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,Australia,O'Hara,Anna,Small,02 9936 8555,69
10180,35,72.03,6,2521.05,2018-11-11,2184,Shipped,Motorcycles,S24_2360,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Small,20.16.1555,69
10190,42,76.19,3,3199.98,2018-11-19,2177,Shipped,Motorcycles,S24_2360,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,(91) 555 94 44,69
10211,21,63.72,11,1338.12,2019-01-15,2121,Shipped,Motorcycles,S24_2360,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Small,(1) 47.55.6555,69
10224,37,80.34,4,2972.58,2019-02-21,2085,Shipped,Motorcycles,S24_2360,Daedalus Designs Imports,"184, chausse de Tournai",Lille,France,Rance,Martine,Small,20.16.1555,69
10237,26,79.65,4,2070.9,2019-04-05,2043,Shipped,Motorcycles,S24_2360,Vitachrome Inc.,2678 Kingston Rd.,NYC,USA,Frick,Michael,Small,2125551500,69
10252,47,65.8,8,3092.6,2019-05-26,1993,Shipped,Motorcycles,S24_2360,Auto Canal Petit,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,(1) 47.55.6555,69
10264,37,65.1,6,2408.7,2019-06-30,1959,Shipped,Motorcycles,S24_2360,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,USA,Yoshido,Juri,Small,6175559555,69
10276,46,75.49,12,3472.54,2019-08-02,1927,Shipped,Motorcycles,S24_2360,Online Mini Collectables,7635 Spinnaker Dr.,Brickhaven,USA,Barajas,Miguel,Medium,6175557555,69
10285,38,59.56,3,2263.28,2019-08-27,1903,Shipped,Motorcycles,S24_2360,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,USA,Hernandez,Marta,Small,6175558555,69
10299,33,66.49,6,2194.17,2019-09-30,1870,Shipped,Motorcycles,S24_2360,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,Finland,Karttunen,Matti,Small,90-224 8555,69
10309,24,56.1,2,1346.4,2019-10-15,1856,Shipped,Motorcycles,S24_2360,Baane Mini Imports,Erling Skakkes gate 78,Stavern,Norway,Bergulfsen,Jonas,Small,07-98 9555,69
10319,31,81.73,7,2533.63,2019-11-03,1838,Shipped,Motorcycles,S24_2360,Microscale Inc.,5290 North Pendale Street,NYC,USA,Kuo,Kee,Small,2125551957,69
10330,42,81.03,1,3403.26,2019-11-16,1826,Shipped,Motorcycles,S24_2360,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,Cruz,Arnold,Medium,+63 2 555 3587,69
10341,32,103.35,6,3307.2,2019-11-24,1819,Shipped,Motorcycles,S24_2360,Salzburg Collectables,Geislweg 14,Salzburg,Austria,Pipps,Georg,Medium,6562-9555,69
10355,41,70.65,3,2896.65,2019-12-07,1807,Shipped,Motorcycles,S24_2360,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Small,(91) 555 94 44,69
10363,43,61.23,14,2632.89,2020-01-06,1778,Shipped,Motorcycles,S24_2360,Suominen Souveniers,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Small,+358 9 8045 555,69
10375,20,102.3,14,2046.0,2020-02-03,1751,Shipped,Motorcycles,S24_2360,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small,40.67.8555,69
10390,35,65.13,4,2279.55,2020-03-04,1722,Shipped,Motorcycles,S24_2360,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,USA,Nelson,Valarie,Small,4155551450,69
10403,27,79.65,4,2150.55,2020-04-08,1688,Shipped,Motorcycles,S24_2360,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,UK,Devon,Elizabeth,Small,(171) 555-2282,69
